propertyType,address,city,zip,price,beds,baths,location,sqFt,lotsize,yearBuilt,daysOnMarket,pricePerSqFt,hoa,link,latitude,longitude
Single Family Residential,4209 Bordeaux Ave,Highland Park,75205,6895000,6,7.5,Highland Park West 08 Instl,8976,24394,1928,1,768,,http://www.redfin.com/TX/Dallas/4209-Bordeaux-Ave-75205/home/32067233,32.8250857,-96.8041613
Condo/Co-op,3130 N Harwood St #1604,Dallas,75201,1375000,3,3,Bleu Ciel Condo,1903,,2018,5,723,1240,http://www.redfin.com/TX/Dallas/3130-N-Harwood-St-75201/unit-1604/home/169392394,32.7970118,-96.8112353
Single Family Residential,7569 Benedict Dr,Dallas,75214,2250000,4,3,Cloisters,3948,14898,1972,46,570,33,http://www.redfin.com/TX/Dallas/7569-Benedict-Dr-75214/home/30845510,32.8492154,-96.7308764
Single Family Residential,3121 Greenbrier Dr,University Park,75225,3750000,5,6,Caruth Hills 02,6878,11195,2020,1,545,,http://www.redfin.com/TX/Dallas/3121-Greenbrier-Dr-75225/home/32055118,32.8578114,-96.7816283
Single Family Residential,5515 Druid Ln,Dallas,75209,649000,2,1,Greenway Crest,1326,8581,1949,1,489,,http://www.redfin.com/TX/Dallas/5515-Druid-Ln-75209/home/30881278,32.8485361,-96.8159456
Single Family Residential,8621 Wingate Dr,Dallas,75209,695000,2,2,Lakemont,1464,18295,1941,1,475,,http://www.redfin.com/TX/Dallas/8621-Wingate-Dr-75209/home/30855945,32.8565243,-96.8447137
Single Family Residential,4328 Livingston Ave,Highland Park,75205,1347500,3,2.5,Highland Park,2950,8276,1936,3,457,,http://www.redfin.com/TX/Dallas/4328-Livingston-Ave-75205/home/32070447,32.8351168,-96.8086161
Condo/Co-op,8181 Douglas Ave #210,Dallas,75225,1950000,3,3,8181 DOUGLAS CONDOMINIUMS,4472,,1982,4,436,2918,http://www.redfin.com/TX/Dallas/8181-Douglas-Ave-75225/unit-210/home/31169428,32.8619507,-96.8087332
Single Family Residential,11524 Royalshire Dr,Dallas,75230,2500000,5,6,Preston Haven Estates,5948,23305,2018,6,420,,http://www.redfin.com/TX/Dallas/11524-Royalshire-Dr-75230/home/30925922,32.9070319,-96.8004549
Single Family Residential,4447 Irvin Simmons Dr,Dallas,75229,2725000,5,6.5,Luna Park Estates,6802,21867,2019,5,401,,http://www.redfin.com/TX/Dallas/4447-Irvin-Simmons-Dr-75229/home/30877368,32.8966112,-96.831568
Single Family Residential,190 Reflection Pl,Dallas,75230,1650000,4,4.5,The Signature Collection,4186,5227,2020,1,394,465,http://www.redfin.com/TX/Dallas/190-Reflection-Pl-75230/home/169878198,32.880905,-96.773257
Single Family Residential,9317 Midway Rd,Dallas,75220,1675000,5,4,Cochran Heights Add 02,4357,24306,2015,300,384,,http://www.redfin.com/TX/Dallas/9317-Midway-Rd-75220/home/30855886,32.8659783,-96.8379295
Single Family Residential,6733 Lockheed Ave,Dallas,75209,299500,2,1,Lockheed Hills,794,7449,1944,4,377,,http://www.redfin.com/TX/Dallas/6733-Lockheed-Ave-75209/home/30855146,32.8407668,-96.8297685
Single Family Residential,6815 Stichter Ave,Dallas,75230,1949000,5,5.5,Crestmanor Estates,5218,13286,2019,5,374,,http://www.redfin.com/TX/Dallas/6815-Stichter-Ave-75230/home/30875055,32.8813209,-96.7879448
Condo/Co-op,2408 Victory Park Ln #1039,Dallas,75219,649777,2,2.5,South Tower Residence,1755,71395,2005,1,370,1669,http://www.redfin.com/TX/Dallas/2408-Victory-Park-Ln-75219/unit-1039/home/30775460,32.7894829,-96.810563
Single Family Residential,4636 Belclaire Ave,Highland Park,75209,1839000,4,5,Highland Park West 09,5169,7405,2007,6,356,,http://www.redfin.com/TX/Dallas/4636-Belclaire-Ave-75209/home/32070064,32.8297754,-96.817365
Single Family Residential,7434 Centenary Ave,Dallas,75225,925000,3,3,Caruth Hills 10,2610,8973,1952,4,354,,http://www.redfin.com/TX/Dallas/7434-Centenary-Ave-75225/home/30872027,32.8620598,-96.7788879
Single Family Residential,4802 W Amherst Ave,Dallas,75209,1449000,4,4.5,Rector Place Add,4128,7449,2013,1,351,,http://www.redfin.com/TX/Dallas/4802-W-Amherst-Ave-75209/home/30854050,32.8520235,-96.827584
Single Family Residential,411 Monte Vista Dr,Dallas,75223,650000,3,2,Collier Anx,1897,6882,1926,5,343,,http://www.redfin.com/TX/Dallas/411-Monte-Vista-Dr-75223/home/30812885,32.8069601,-96.7446088
Single Family Residential,5110 Radbrook Pl,Dallas,75220,1499000,4,5.5,Radbrook Estates,4378,45085,1962,4,342,,http://www.redfin.com/TX/Dallas/5110-Radbrook-Pl-75220/home/30879608,32.8674246,-96.8238319
Single Family Residential,5838 La Vista Dr,Dallas,75206,366666,2,2,M Bird Add,1096,12458,1940,1,335,,http://www.redfin.com/TX/Dallas/5838-La-Vista-Dr-75206/home/30806548,32.8128435,-96.7664335
Single Family Residential,5846 La Vista Dr,Dallas,75206,366666,2,1,M Bird Add,1096,12458,1940,1,335,,http://www.redfin.com/TX/Dallas/5846-La-Vista-Dr-75206/home/30806584,32.8128226,-96.7661766
Single Family Residential,5842 La Vista Dr,Dallas,75206,366666,2,1,M Bird Add,1096,12458,1940,1,335,,http://www.redfin.com/TX/Dallas/5842-La-Vista-Dr-75206/home/30806544,32.8128241,-96.7663389
Single Family Residential,4303 Enfield Dr,Dallas,75220,1250000,4,4.5,Midway Northwest Estates,3744,21824,1986,4,334,,http://www.redfin.com/TX/Dallas/4303-Enfield-Dr-75220/home/31136777,32.8657191,-96.8353302
Single Family Residential,6314 Lavendale Ave,Dallas,75230,1950000,5,6,Preston Royal 02,5877,15899,2007,61,332,,http://www.redfin.com/TX/Dallas/6314-Lavendale-Ave-75230/home/30876672,32.8955879,-96.7976296
Single Family Residential,642 Northlake Dr,Dallas,75218,517000,3,2,Lake Highlands Estates,1611,10629,1947,4,321,,http://www.redfin.com/TX/Dallas/642-Northlake-Dr-75218/home/30867402,32.8469727,-96.7117946
Single Family Residential,430 Valencia St,Dallas,75223,495000,2,2,Hollywood Add,1541,6708,1930,1,321,5,http://www.redfin.com/TX/Dallas/430-Valencia-St-75223/home/30812697,32.8048281,-96.7459056
Condo/Co-op,6211 W Northwest Hwy #1905,Dallas,75225,359000,1,2,Preston Tower Condos,1132,185478,1966,6,317,835,http://www.redfin.com/TX/Dallas/6211-W-Northwest-Hwy-75225/unit-1905/home/30874189,32.8657656,-96.8003968
Condo/Co-op,3110 Thomas Ave #309,Dallas,75204,290000,1,1.5,Dallas,914,,,4,317,,http://www.redfin.com/TX/Dallas/3110-Thomas-Ave-75204/unit-309/home/30762011,32.798157,-96.7950576
Single Family Residential,1429 El Campo Dr,Dallas,75218,669000,2,2,Casa Linda Estates,2125,20212,1940,5,315,,http://www.redfin.com/TX/Dallas/1429-El-Campo-Dr-75218/home/30861203,32.8260496,-96.7019737
Single Family Residential,6346 Sudbury Dr,Dallas,75214,415000,3,2,Caruth Terrace,1332,8407,1952,1,312,,http://www.redfin.com/TX/Dallas/6346-Sudbury-Dr-75214/home/30822710,32.8390028,-96.7531389
Single Family Residential,5844 Anita St,Dallas,75206,499000,2,2,Stonewall Terrace,1612,6665,1940,25,310,,http://www.redfin.com/TX/Dallas/5844-Anita-St-75206/home/30821581,32.8345007,-96.7658516
Condo/Co-op,1200 Main St #1105,Dallas,75202,233800,1,1,Metropolitan 1200 Main St Condo,757,44997,1974,1,309,305,http://www.redfin.com/TX/Dallas/1200-Main-St-75202/unit-1105/home/30776240,32.7800768,-96.8011677
Single Family Residential,2629 Milton Ave,University Park,75205,1395000,5,4.5,Summitt Lawn,4538,7492,1996,6,307,,http://www.redfin.com/TX/Dallas/2629-Milton-Ave-75205/home/32099520,32.848525,-96.7732236
Single Family Residential,5614 Mercedes Ave,Dallas,75206,720000,4,3,Greenland Hills Sec,2343,7797,1926,1,307,,http://www.redfin.com/TX/Dallas/5614-Mercedes-Ave-75206/home/30812195,32.8279911,-96.7715183
Single Family Residential,5807 Ellsworth Ave,Dallas,75206,555000,3,2,Stonewall Terrace,1823,6665,1940,6,304,,http://www.redfin.com/TX/Dallas/5807-Ellsworth-Ave-75206/home/30821565,32.8341882,-96.7675695
Condo/Co-op,3030 Mckinney Ave #403,Dallas,75204,410000,2,2,La Tour Condominiums,1353,65601,1981,6,303,984,http://www.redfin.com/TX/Dallas/3030-McKinney-Ave-75204/unit-403/home/31174052,32.8011973,-96.8007328
Single Family Residential,4675 Beverly Dr,Highland Park,75209,1599000,4,4.5,Highland Park,5315,11848,1936,5,301,,http://www.redfin.com/TX/Dallas/4675-Beverly-Dr-75209/home/32070157,32.8320665,-96.8186612
Single Family Residential,8823 Groveland,Dallas,75218,475000,3,2,Lakeland Terrace,1583,8146,1985,6,300,,http://www.redfin.com/TX/Dallas/8823-Groveland-Dr-75218/home/30860458,32.8189216,-96.7031856
Single Family Residential,5841 Williamstown Rd,Dallas,75230,1650000,5,4.5,Melshire Estates,5518,20038,2007,1,299,,http://www.redfin.com/TX/Dallas/5841-Williamstown-Rd-75230/home/30961615,32.9155535,-96.8076785
Single Family Residential,6444 Waggoner Dr,Dallas,75230,1925000,6,7,Preston Road Estates,6500,14985,1997,1,296,,http://www.redfin.com/TX/Dallas/6444-Waggoner-Dr-75230/home/30875695,32.886983,-96.794622
Single Family Residential,4339 N Hall St,Dallas,75219,675000,2,2,Perry Heights,2290,7362,1925,6,295,,http://www.redfin.com/TX/Dallas/4339-N-Hall-St-75219/home/30810032,32.8161141,-96.8145209
Single Family Residential,571 Bondstone Dr,Dallas,75218,489000,4,2,Lake Highlands Estates,1660,9104,1952,1,295,,http://www.redfin.com/TX/Dallas/571-Bondstone-Dr-75218/home/30908941,32.8537289,-96.7060273
Single Family Residential,6036 Palo Pinto Ave,Dallas,75206,985000,4,3,Belmont Sub,3375,8538,2013,3,292,,http://www.redfin.com/TX/Dallas/6036-Palo-Pinto-Ave-75206/home/30806479,32.819493,-96.762072
Single Family Residential,1843 Euclid Ave,Dallas,75206,779000,3,2.5,Levingston Place,2721,3877,2017,63,286,,http://www.redfin.com/TX/Dallas/1843-Euclid-Ave-75206/home/146120844,32.812689,-96.7738259
Condo/Co-op,4611 Travis St Unit 1107B,Dallas,75205,495000,2,2,Travis At Knox Condo,1744,26920,2000,4,284,890,http://www.redfin.com/TX/Dallas/4611-Travis-St-75205/unit-1107B/home/30765921,32.8243394,-96.7902695
Condo/Co-op,4611 Travis St Unit 1108B,Dallas,75205,506000,2,2.5,The Travis at Katy Trail,1779,26920,2000,3,284,988,http://www.redfin.com/TX/Dallas/4611-Travis-St-75205/unit-1108B/home/30765923,32.8243394,-96.7902695
Condo/Co-op,4015 Wycliff Ave #1,Dallas,75219,599900,3,3.5,Melrose Heights,2126,7187,2015,4,282,250,http://www.redfin.com/TX/Dallas/4015-Wycliff-Ave-75219/unit-1/home/78530585,32.8196947,-96.8083052
Multi-Family (2-4 Unit),3113 Oliver Ave #3,Dallas,75205,1200000,7,5,Rodriguez Oliver,4308,5009,2005,6,279,,http://www.redfin.com/TX/Dallas/3113-Oliver-St-75205/unit-3/home/169790175,32.819457,-96.790001
Condo/Co-op,3400 Welborn St #418,Dallas,75219,210000,1,1,Wyndemere Condo,758,71569,1998,6,277,398,http://www.redfin.com/TX/Dallas/3400-Welborn-St-75219/unit-418/home/32198811,32.8099817,-96.8055298
Condo/Co-op,3940 Buena Vista St #304,Dallas,75204,289500,2,1.5,Cambrick Place Condo,1046,33498,1981,6,277,215,http://www.redfin.com/TX/Dallas/3940-Buena-Vista-St-75204/unit-304/home/31123899,32.8127765,-96.7968195
Condo/Co-op,2304 N Garrett Ave #3,Dallas,75206,379000,2,2.5,Bowles VS,1375,8494,2016,15,276,150,http://www.redfin.com/TX/Dallas/2304-N-Garrett-Ave-75206/unit-3/home/108585174,32.8125701,-96.7794403
Single Family Residential,8226 Callimont Ln,Dallas,75231,439900,2,2.5,Merion at Midtown Park,1594,1742,2019,5,276,121,http://www.redfin.com/TX/Dallas/Unknown-75231/home/143838177,32.889921,-96.762622
Condo/Co-op,4218 Newton #3,Dallas,75219,265000,2,1.5,4218 NEWTON CONDOMINIUM,963,,1979,6,275,171,http://www.redfin.com/TX/Dallas/4218-Newton-Ave-75219/unit-3/home/30799652,32.8184584,-96.8041168
Townhouse,2432 Worthington St,Dallas,75204,635000,3,3.5,Worthington Corners,2366,1699,2003,4,268,81,http://www.redfin.com/TX/Dallas/2432-Worthington-St-75204/home/30730372,32.7971863,-96.7993294
Single Family Residential,7611 Marquette St,Dallas,75225,885000,3,2.5,Caruth Village,3318,4879,1985,5,267,67,http://www.redfin.com/TX/Dallas/7611-Marquette-St-75225/home/31135087,32.8616994,-96.7762313
Single Family Residential,8366 Forest Hills Blvd,Dallas,75218,1049500,4,3,Forest Hills,3945,25003,1997,5,266,,http://www.redfin.com/TX/Dallas/8366-Forest-Hills-Blvd-75218/home/30860243,32.8158244,-96.7151382
Single Family Residential,5138 Vanderbilt Ave,Dallas,75206,825000,4,3,Greenland Hills,3100,7231,1926,5,266,,http://www.redfin.com/TX/Dallas/5138-Vanderbilt-Ave-75206/home/30812043,32.8242742,-96.783016
Single Family Residential,6750 Greenwich Ln,Dallas,75230,875000,3,2.5,Preston Brook Estates,3298,18077,1958,4,265,,http://www.redfin.com/TX/Dallas/6750-Greenwich-Ln-75230/home/31018883,32.9114171,-96.7886743
Single Family Residential,1047 Tea Olive Ln,Dallas,75212,475000,3,3,Trinity Green,1803,1525,2019,4,263,108,http://www.redfin.com/TX/Dallas/1047-Tea-Olive-Ln-75212/home/167041159,32.778475,-96.840502
Single Family Residential,10530 Lakemere Dr,Dallas,75238,369000,3,2,Lake Highlands Estates 14,1411,9714,1956,4,262,,http://www.redfin.com/TX/Dallas/10530-Lakemere-Dr-75238/home/31006698,32.874747,-96.7041467
Condo/Co-op,3918 N Hall St #12,Dallas,75219,155000,1,1,Mirabelle Condos,597,11413,1985,1,260,172,http://www.redfin.com/TX/Dallas/3918-N-Hall-St-75219/unit-12/home/30761663,32.8113398,-96.808926
Single Family Residential,4221 Meadowdale Ln,Dallas,75229,845000,4,3.5,Royal Ridge Add,3258,16335,1968,4,259,,http://www.redfin.com/TX/Dallas/4221-Meadowdale-Ln-75229/home/30878265,32.8903397,-96.8375802
Single Family Residential,1039 Gallivant Ln,Dallas,75218,430000,3,2.5,PS W Emerald,1665,2526,2017,145,258,163,http://www.redfin.com/TX/Dallas/1039-Gallivant-Ln-75218/home/110137068,32.8289358,-96.7103318
Single Family Residential,1132 S Marlborough Ave,Dallas,75208,339900,3,2,Sunset Annex,1318,7754,1925,1,258,,http://www.redfin.com/TX/Dallas/1132-S-Marlborough-Ave-75208/home/30832962,32.7338085,-96.8514205
Single Family Residential,4339 Crowley Dr,Dallas,75229,1199000,4,4,WALNUT HILL RIDGE,4674,18295,1952,6,257,,http://www.redfin.com/TX/Dallas/4339-Crowley-Dr-75229/home/30878698,32.8847639,-96.8357908
Single Family Residential,10461 Heather Ln,Dallas,75229,775000,3,2.5,Walnut Hill Park,3048,15812,1954,1,254,,http://www.redfin.com/TX/Dallas/10461-Heather-Ln-75229/home/31141263,32.8898591,-96.853208
Single Family Residential,8808 Larchwood Dr,Dallas,75238,399000,3,2,Lake Highlands Estates,1580,7449,1959,1,253,,http://www.redfin.com/TX/Dallas/8808-Larchwood-Dr-75238/home/31005734,32.8684736,-96.700929
Single Family Residential,8260 Milroy Ln,Dallas,75231,607148,3,3.5,Merion at Midtown Park,2410,2309,2018,4,252,127,http://www.redfin.com/TX/Dallas/8260-Milroy-Ln-75231/home/143838133,32.8891181,-96.7621956
Single Family Residential,17732 Sage Ln,Dallas,75252,485000,3,2.5,University Place,1923,1742,2019,3,252,154,http://www.redfin.com/TX/Dallas/17732-Sage-Ln-75252/home/167677263,32.9921758,-96.7616532
Condo/Co-op,4211 Rawlins St #349,Dallas,75219,409000,2,2.5,Palo Alto Twnhms Condo,1628,110250,2006,5,251,345,http://www.redfin.com/TX/Dallas/4211-Rawlins-St-75219/unit-349/home/32395095,32.8148392,-96.8113537
Single Family Residential,4207 Camden Ave,Dallas,75206,699990,4,2.5,Montebello Park,2802,6142,1939,6,250,,http://www.redfin.com/TX/Dallas/4207-Camden-Ave-75206/home/30822127,32.8368986,-96.7637184
Single Family Residential,1130 N Cottonwood Dr,Richardson,75080,549900,4,3,Richardson Heights 16 Sec 01,2208,10106,1963,4,249,,http://www.redfin.com/TX/Richardson/1130-N-Cottonwood-Dr-75080/home/31965213,32.9655053,-96.7668608
Single Family Residential,6250 Anita St,Dallas,75214,1129000,5,4.5,Bel Air Add,4535,7928,2019,1,249,,http://www.redfin.com/TX/Dallas/6250-Anita-St-75214/home/30820975,32.8343668,-96.7561458
Single Family Residential,8617 San Souci,Dallas,75238,425000,3,2,Kelman Heights,1709,8581,1960,1,249,,http://www.redfin.com/TX/Dallas/8617-San-Souci-Dr-75238/home/30971688,32.8664432,-96.7069049
Single Family Residential,1041 Tea Olive Ln,Dallas,75212,470000,3,3,Trinity Green,1904,1525,2019,4,247,108,http://www.redfin.com/TX/Dallas/1041-Tea-Olive-Ln-75212/home/167041068,32.778475,-96.840502
Single Family Residential,624 Cedar Hill Ave,Dallas,75208,399000,3,2,Brown L G,1614,7492,1950,1,247,,http://www.redfin.com/TX/Dallas/624-Cedar-Hill-Ave-75208/home/30829966,32.7503901,-96.8313152
Single Family Residential,3979 Park Ln,Dallas,75220,825000,4,4,Glenridge Estates,3350,7492,2017,40,246,,http://www.redfin.com/TX/Dallas/3979-Park-Ln-75220/home/30911018,32.8755137,-96.8470139
Single Family Residential,11828 Brookhill Ln,Dallas,75230,949000,3,3.5,Lake Forest Ph D,3872,7231,1999,4,245,492,http://www.redfin.com/TX/Dallas/11828-Brookhill-Ln-75230/home/31150455,32.9108896,-96.7821493
Single Family Residential,5409 Preston Haven Dr,Dallas,75229,1539000,5,7,Inwood Road Estates,6283,16030,2018,1,245,,http://www.redfin.com/TX/Dallas/5409-Preston-Haven-Dr-75229/home/30926329,32.9066476,-96.8154791
Single Family Residential,6938 Winchester St,Dallas,75231,359000,2,2,Merriman Park,1472,9932,1956,1,244,,http://www.redfin.com/TX/Dallas/6938-Winchester-St-75231/home/30870961,32.8608581,-96.7420089
Multi-Family (2-4 Unit),5810 Lewis St,Dallas,75206,785000,3,3.5,Ross Ave Heights Add,3225,6011,2019,4,243,,http://www.redfin.com/TX/Dallas/5810-Lewis-St-75206/home/30798243,32.8119207,-96.7672791
Condo/Co-op,3400 Welborn St #221,Dallas,75219,285000,2,2,Wyndemere Condo,1171,71569,1998,1,243,615,http://www.redfin.com/TX/Dallas/3400-Welborn-St-75219/unit-221/home/32198822,32.8099817,-96.8055298
Single Family Residential,6 Collinway Pl,Dallas,75230,1169000,4,4.5,Downs Of Hillcrest Ph 02,4838,10237,1998,5,242,405,http://www.redfin.com/TX/Dallas/6-Collinway-Pl-75230/home/31150390,32.9215917,-96.7885113
Townhouse,4128 Buena Vista St,Dallas,75204,449000,2,2.5,Parkwood Twnhms Add,1880,1699,1998,4,239,375,http://www.redfin.com/TX/Dallas/4128-Buena-Vista-St-75204/home/31124161,32.816548,-96.795015
Condo/Co-op,3208 Cole Ave #2303,Dallas,75204,289000,2,2,Uptown,1214,61768,1984,153,238,404,http://www.redfin.com/TX/Dallas/3208-Cole-Ave-75204/unit-2303/home/31162599,32.8035583,-96.8011197
Multi-Family (2-4 Unit),4411 Roseland Ave,Dallas,75204,514000,3,3,Ross Ave,2170,3267,2008,5,237,,http://www.redfin.com/TX/Dallas/4411-Roseland-Ave-75204/home/32395055,32.803347,-96.782041
Single Family Residential,7054 Freemont St,Dallas,75231,449990,3,2,Merriman Park,1900,8886,1960,1,237,,http://www.redfin.com/TX/Dallas/7054-Freemont-St-75231/home/30870666,32.8612603,-96.7384856
Single Family Residential,819 Woodlawn Ave,Dallas,75208,470000,3,2,Brown L G,1989,6752,1922,18,236,,http://www.redfin.com/TX/Dallas/819-Woodlawn-Ave-75208/home/30829323,32.7529303,-96.8305987
Condo/Co-op,5200 Martel Ave Unit 3P,Dallas,75206,225000,1,1.5,MONTICELLO CROSSROADS,952,261752,1981,5,236,328,http://www.redfin.com/TX/Dallas/5200-Martel-Ave-75206/unit-3P/home/31175925,32.831543,-96.780064
Single Family Residential,7328 Wild Valley Dr,Dallas,75231,390000,3,2,University Manor,1650,8146,1955,5,236,,http://www.redfin.com/TX/Dallas/7328-Wild-Valley-Dr-75231/home/30871250,32.8581641,-96.7361654
Single Family Residential,6301 Palo Pinto Ave,Dallas,75214,989900,4,4,Lakewood Heights,4191,7492,2006,4,236,,http://www.redfin.com/TX/Dallas/6301-Palo-Pinto-Ave-75214/home/30810105,32.8203477,-96.7558114
Condo/Co-op,5016 Bryan St #105,Dallas,75206,359000,2,2.5,College Hill,1529,7710,2019,1,235,195,http://www.redfin.com/TX/Dallas/5016-Bryan-St-75206/unit-105/home/166861606,32.804999,-96.7715939
Condo/Co-op,4307 McKinney Ave #10,Dallas,75205,599000,3,3,Amherst Condos,2563,9017,2002,1,234,390,http://www.redfin.com/TX/Dallas/4307-McKinney-Ave-75205/unit-10/home/30745372,32.8179246,-96.7902295
Multi-Family (2-4 Unit),1906 Lucille St,Dallas,75204,499900,3,2.5,Mayos,2143,6273,2019,6,233,,http://www.redfin.com/TX/Dallas/1906-Lucille-St-75204/home/169788505,32.8011419,-96.7863376
Townhouse,423 Trinity River Cir,Dallas,75203,479000,2,2.5,Trinity Twnhms,2056,1568,2006,6,233,110,http://www.redfin.com/TX/Dallas/423-Trinity-River-Cir-75203/home/30773710,32.763018,-96.815763
Single Family Residential,9303 Crestlake Dr,Dallas,75238,449900,3,2.5,Lake Ridge Estates,1953,9365,1959,5,230,,http://www.redfin.com/TX/Dallas/9303-Crestlake-Dr-75238/home/31031980,32.873898,-96.7175206
Single Family Residential,6546 Kingsbury Dr,Dallas,75231,370000,3,2,Merriman Park Add,1618,8973,1961,139,229,,http://www.redfin.com/TX/Dallas/6546-Kingsbury-Dr-75231/home/30870821,32.8564594,-96.7433158
Single Family Residential,10306 Lippitt Ave,Dallas,75218,515000,3,4,Eastwood Estates,2249,9148,1960,5,229,,http://www.redfin.com/TX/Dallas/10306-Lippitt-Ave-75218/home/30866808,32.8488957,-96.7020991
Condo/Co-op,5023 Fuqua St #101,Dallas,75206,429900,2,2.5,Monarch Place,1876,8668,2017,4,229,250,http://www.redfin.com/TX/Dallas/5023-Fuqua-St-75206/unit-101/home/169393518,32.811105,-96.7783711
Condo/Co-op,3919 Holland Ave #203,Dallas,75219,234900,2,2.5,Almaden Condo,1035,15987,1971,77,227,290,http://www.redfin.com/TX/Dallas/3919-Holland-Ave-75219/unit-203/home/30799916,32.8144509,-96.8051
Single Family Residential,4527 Goodfellow Dr,Dallas,75229,689950,4,4,North Highland Estates,3038,16335,1964,5,227,,http://www.redfin.com/TX/Dallas/4527-Goodfellow-Dr-75229/home/30926617,32.9092076,-96.8312367
Single Family Residential,9420 Forestridge Dr,Dallas,75238,545000,3,2,White Rock North,2400,10149,1960,4,227,,http://www.redfin.com/TX/Dallas/9420-Forestridge-Dr-75238/home/30881608,32.8713788,-96.7211571
Townhouse,5981 Morning Star Pl,Dallas,75235,450000,3,3.5,Kimsey Place,1993,1612,2017,6,226,100,http://www.redfin.com/TX/Dallas/5981-Morning-Star-Pl-75235/home/110137322,32.8244035,-96.83827
Condo/Co-op,4406 Bowser Ave #8,Dallas,75219,495000,3,3.5,Lomo Blanco Condo,2189,39945,2008,4,226,351,http://www.redfin.com/TX/Dallas/4406-Bowser-Ave-75219/unit-8/home/32396207,32.818858,-96.8115643
Single Family Residential,6745 E Mockingbird Ln,Dallas,75214,399000,3,2,Caruth Terrace 05,1764,7841,1955,3,226,,http://www.redfin.com/TX/Dallas/6745-E-Mockingbird-Ln-75214/home/30822996,32.8403916,-96.7444459
Single Family Residential,5526 Winton St,Dallas,75206,559000,3,2.5,Kelmans,2486,3920,2006,5,225,,http://www.redfin.com/TX/Dallas/5526-Winton-St-75206/home/30773383,32.835347,-96.772523
Single Family Residential,4239 Nashwood Ln,Dallas,75244,650000,4,3,Hockaday Manor,2929,17076,1965,4,222,,http://www.redfin.com/TX/Dallas/4239-Nashwood-Ln-75244/home/31097247,32.9122399,-96.8363196
Condo/Co-op,3730 Holland Ave Unit 2B,Dallas,75219,695000,3,3.5,Holland Condo 3730,3146,,1973,6,221,839,http://www.redfin.com/TX/Dallas/3730-Holland-Ave-75219/unit-2B/home/30794853,32.8131987,-96.8031596
Single Family Residential,3022 Ivandell Ave,Dallas,75211,239900,3,2,Sunset Heights,1091,7013,1940,2,220,,http://www.redfin.com/TX/Dallas/3022-Ivandell-Ave-75211/home/30838359,32.7360535,-96.8711421
Single Family Residential,11909 Edgestone Rd,Dallas,75230,995000,3,2.5,Lake Forest Ph C,4542,7928,2000,2,219,492,http://www.redfin.com/TX/Dallas/11909-Edgestone-Rd-75230/home/31150519,32.9121708,-96.7828193
Single Family Residential,4248 Mendenhall Dr,Dallas,75244,539000,4,3.5,Hockaday Manor 02,2470,16161,1963,5,218,,http://www.redfin.com/TX/Dallas/4248-Mendenhall-Dr-75244/home/30926562,32.9098974,-96.8362574
Condo/Co-op,3883 Turtle Creek Blvd #1901,Dallas,75219,187500,1,1,Twenty-One Turtle Creek Condos,862,137606,1963,2,218,605,http://www.redfin.com/TX/Dallas/3883-Turtle-Creek-Blvd-75219/unit-1901/home/30797492,32.8148615,-96.7998842
Condo/Co-op,6333 Richmond Ave Unit F,Dallas,75214,410000,2,2.5,Richmond At Lakewood Condos,1888,12632,2006,40,217,320,http://www.redfin.com/TX/Dallas/6333-Richmond-Ave-75214/unit-F/home/30810196,32.8164441,-96.7545389
Townhouse,4303 Cabell Dr,Dallas,75204,380000,2,2,Peak Street Twnhms Add,1748,1568,2001,5,217,75,http://www.redfin.com/TX/Dallas/4303-Cabell-Dr-75204/home/32255996,32.804788,-96.785891
