propertyType,address,city,zip,price,beds,baths,location,sqFt,lotsize,yearBuilt,daysOnMarket,pricePerSqFt,hoa,link,latitude,longitude
Single Family Residential,623 Lake Point Dr,Irving,75039,1125000,5,5.5,Lakes Of Las Colinas Ph 01,5216,11369,2010,4,216,270,http://www.redfin.com/TX/Irving/623-Lake-Point-Dr-75039/home/30790098,32.8810941,-96.9347639
Single Family Residential,3 Kingsgate Ct,Dallas,75225,1375000,4,5,Glen Lakes 04,6354,9888,1986,4,216,575,http://www.redfin.com/TX/Dallas/3-Kingsgate-Ct-75225/home/30872647,32.875268,-96.7779752
Single Family Residential,9142 Cochran Heights Dr,Dallas,75220,449900,2,2.5,Cochran Chapel Heights,2092,5053,1981,6,215,,http://www.redfin.com/TX/Dallas/9142-Cochran-Heights-Dr-75220/home/30855859,32.8631758,-96.8441669
Single Family Residential,9427 Hilldale Dr,Dallas,75231,659000,4,2.5,Rolling Trails,3061,8668,1978,6,215,,http://www.redfin.com/TX/Dallas/9427-Hilldale-Dr-75231/home/31069602,32.8897363,-96.7404901
Single Family Residential,3048 Clydedale Dr,Dallas,75220,240000,4,3,Community Place,1115,7187,1949,4,215,,http://www.redfin.com/TX/Dallas/3048-Clydedale-Dr-75220/home/30882263,32.8621354,-96.8727342
Condo/Co-op,3102 Kings Rd #1208,Dallas,75219,222000,2,2,Piazza Siena Condo,1036,87033,2001,90,214,444,http://www.redfin.com/TX/Dallas/3102-Kings-Rd-75219/unit-1208/home/30780937,32.8183615,-96.8199868
Condo/Co-op,1122 Jackson St #319,Dallas,75202,200000,1,1,Soco Urban Loft Condo,944,42863,1925,34,212,371,http://www.redfin.com/TX/Dallas/1122-Jackson-St-75202/unit-319/home/30761710,32.7782672,-96.8024429
Single Family Residential,6634 Clearhaven Cir,Dallas,75248,524900,3,2.5,Prestonwood 15,2472,7884,1978,4,212,,http://www.redfin.com/TX/Dallas/6634-Clearhaven-Cir-75248/home/31112067,32.9669373,-96.7921308
Single Family Residential,6525 Meadowcreek Dr,Dallas,75254,905000,4,4.5,Northwood Hills Estates,4262,21388,1973,4,212,,http://www.redfin.com/TX/Dallas/6525-Meadowcreek-Dr-75254/home/31073724,32.945962,-96.7935955
Single Family Residential,4333 Boca Bay Dr,Dallas,75244,724900,4,3.5,Forest Glen Add 4th Sec,3415,13504,1969,1,212,,http://www.redfin.com/TX/Dallas/4333-Boca-Bay-Dr-75244/home/31097120,32.9166803,-96.8368168
Single Family Residential,114 N Cottonwood Dr,Richardson,75080,289900,3,2,Richardson Heights 10 Sec 01,1374,8015,1961,60,211,,http://www.redfin.com/TX/Richardson/114-N-Cottonwood-Dr-75080/home/31961554,32.9526851,-96.7657732
Single Family Residential,318 S Montreal Ave,Dallas,75208,455000,4,3,Sunset Hill,2152,7667,1940,5,211,,http://www.redfin.com/TX/Dallas/318-S-Montreal-Ave-75208/home/30831035,32.7424465,-96.8538317
Single Family Residential,11136 Cactus Ln,Dallas,75238,389000,3,2,Barkley Square,1850,7754,1973,6,210,,http://www.redfin.com/TX/Dallas/11136-Cactus-Ln-75238/home/31044661,32.8683466,-96.6901907
Single Family Residential,3439 Timberview Rd,Dallas,75229,350000,3,2,Timberbrook 4th Inst,1663,,1956,5,210,,http://www.redfin.com/TX/Dallas/3439-Timberview-Rd-75229/home/30929314,32.8841537,-96.8637637
Townhouse,857 N Glasgow Dr Unit C,Dallas,75214,489000,3,2.5,Villa Bellamini 2nd Revision,2342,4225,2008,5,209,,http://www.redfin.com/TX/Dallas/857-N-Glasgow-Dr-75214/unit-C/home/40149136,32.8098884,-96.7569882
Townhouse,3808 Hawthorne Ave,Dallas,75219,699000,2,2.5,Foresite 08,3338,2526,2000,4,209,,http://www.redfin.com/TX/Dallas/3808-Hawthorne-Ave-75219/home/30809590,32.822274,-96.811426
Single Family Residential,9703 Vinewood Dr,Dallas,75228,499000,3,2.5,Oates Drive Estates,2395,10367,1995,7,208,,http://www.redfin.com/TX/Dallas/9703-Vinewood-Dr-75228/home/31149721,32.8220199,-96.6887284
Condo/Co-op,6303 Richmond Ave #209,Dallas,75214,379000,3,2.5,Richmond Condos,1826,24742,1984,6,208,373,http://www.redfin.com/TX/Dallas/6303-Richmond-Ave-75214/unit-209/home/31183424,32.8163264,-96.7559046
Condo/Co-op,6220 Bentwood Trl #207,Dallas,75252,225500,2,2.5,Bent Trail Twnhms,1083,,1984,5,208,285,http://www.redfin.com/TX/Dallas/6220-Bentwood-Trl-75252/unit-207/home/32184559,33.0026393,-96.7982712
Townhouse,1614 Jensen Ct,Dallas,75204,369900,3,3.5,San Jacinto Lofts 02,1785,1263,2007,96,207,99,http://www.redfin.com/TX/Dallas/1614-Jensen-Ct-75204/home/30773761,32.7984878,-96.7840066
Single Family Residential,15512 Leavalley Cir,Dallas,75248,445000,3,2,Prestonwood,2150,7449,1971,1,207,71,http://www.redfin.com/TX/Dallas/15512-Leavalley-Cir-75248/home/31077831,32.9599905,-96.7797038
Townhouse,4100 Travis St #5,Dallas,75204,425000,2,2.5,Travis Street Condos 4100,2060,34369,1999,6,206,352,http://www.redfin.com/TX/Dallas/4100-Travis-St-75204/unit-5/home/32199150,32.8149835,-96.7946572
Single Family Residential,2612 Beechmont Dr,Dallas,75228,379000,4,3,Crestview East 01,1848,8102,1963,4,205,,http://www.redfin.com/TX/Dallas/2612-Beechmont-Dr-75228/home/31013246,32.8214013,-96.686347
Single Family Residential,9923 Windledge Dr,Dallas,75238,479900,4,2,Lake North Estates,2352,9060,1963,32,204,,http://www.redfin.com/TX/Dallas/9923-Windledge-Dr-75238/home/31061928,32.884516,-96.7149292
Single Family Residential,2426 San Paula Ave,Dallas,75228,250000,3,2,Casa View Oaks 02,1226,7623,1953,4,204,,http://www.redfin.com/TX/Dallas/2426-San-Paula-Ave-75228/home/30969021,32.8318728,-96.6734391
Single Family Residential,2447 Telegraph Ave,Dallas,75228,315000,3,2,Claremont 01 Inst,1548,12110,1958,81,203,,http://www.redfin.com/TX/Dallas/2447-Telegraph-Ave-75228/home/30967411,32.8019385,-96.7065287
Condo/Co-op,5055 Addison Cir #424,Addison,75001,368500,2,2,Aventura Condos,1811,,2000,4,203,626,http://www.redfin.com/TX/Addison/5055-Addison-Cir-75001/unit-424/home/32253853,32.9622562,-96.8239695
Single Family Residential,5315 Ambergate Ln,Dallas,75287,1056500,5,5.5,Oaktree #4,5206,13504,1996,1,203,129,http://www.redfin.com/TX/Dallas/5315-Ambergate-Ln-75287/home/32237579,32.9999652,-96.8169084
Single Family Residential,1618 Lebanon Ave,Dallas,75208,245000,3,2,Guerrants Sub,1210,7492,1950,5,202,,http://www.redfin.com/TX/Dallas/1618-Lebanon-Ave-75208/home/30842779,32.7322427,-96.8477187
Condo/Co-op,6005 Danbury Ln #204,Dallas,75206,229900,2,2,Arbor Court Condo,1144,35284,1970,3,201,358,http://www.redfin.com/TX/Dallas/6005-Danbury-Ln-75206/unit-204/home/31161176,32.848518,-96.7621868
Single Family Residential,5231 Terry St,Dallas,75223,200000,2,1,Caldwells R D,1002,7231,1948,5,200,,http://www.redfin.com/TX/Dallas/5231-Terry-St-75223/home/30796401,32.7957557,-96.7571094
Single Family Residential,9048 Stone Creek Pl,Dallas,75243,399000,3,2,Replat Rep Greenville Wood Rev,1999,6795,1982,4,200,,http://www.redfin.com/TX/Dallas/9048-Stone-Creek-Pl-75243/home/31070918,32.9051595,-96.7460799
Single Family Residential,9815 Windledge Dr,Dallas,75238,479000,4,2,Dallas,2401,8712,1963,1,200,,http://www.redfin.com/TX/Dallas/9815-Windledge-Dr-75238/home/31062039,32.8848355,-96.7171444
Townhouse,8337 Oxalis Ln,Dallas,75252,385000,3,2.5,University Place Add Ph 1,1932,3267,2018,15,199,205,http://www.redfin.com/TX/Dallas/8337-Oxalis-Ln-75252/home/147603873,32.994031,-96.758948
Single Family Residential,9138 Westglen Dr,Dallas,75228,419000,3,2,Casa Linda Forest,2105,14941,1961,3,199,,http://www.redfin.com/TX/Dallas/9138-Westglen-Dr-75228/home/30998654,32.8156111,-96.6970012
Single Family Residential,9418 Gatetrail Dr,Dallas,75238,510000,3,2,White Rock North,2584,8364,1965,4,197,,http://www.redfin.com/TX/Dallas/9418-Gatetrail-Dr-75238/home/31067804,32.8828815,-96.7278686
Single Family Residential,2515 San Paula Ave,Dallas,75228,214900,3,1,Casa View Oaks 02,1096,7536,1953,6,196,,http://www.redfin.com/TX/Dallas/2515-San-Paula-Ave-75228/home/30969043,32.8323084,-96.6718519
Single Family Residential,6827 Kingsbury Dr,Dallas,75231,450000,4,2,Merriman Park,2312,12545,1961,4,195,2,http://www.redfin.com/TX/Dallas/6827-Kingsbury-Dr-75231/home/30870906,32.8602427,-96.7447409
Condo/Co-op,6910 Helsem Way #106,Dallas,75230,495000,3,3,Hillcrest Villa Condo,2545,,1974,4,194,439,http://www.redfin.com/TX/Dallas/6910-Helsem-Way-75230/unit-106/home/31020235,32.9196201,-96.7861866
Single Family Residential,17114 Bullaye Way,Dallas,75252,710000,4,3.5,University Place,3669,10890,2019,3,194,54,http://www.redfin.com/TX/Dallas/Bullaye-Way-75252/home/169392035,32.983415,-96.765637
Single Family Residential,8650 Ballifeary Pl,Dallas,75238,580000,3,2.5,Villas Lk Hlnds 2 Add,2995,3093,2015,1,194,121,http://www.redfin.com/TX/Dallas/8650-Ballifeary-Pl-75238/home/91493871,32.8663647,-96.7026423
Single Family Residential,9117 Bretshire Dr,Dallas,75228,375000,3,2,Eastwood 01,1931,8930,1963,1,194,,http://www.redfin.com/TX/Dallas/9117-Bretshire-Dr-75228/home/31012662,32.8117758,-96.6932407
Single Family Residential,16058 Chalfont Ct,Dallas,75248,575000,4,3.5,Preston Park 02 Rev,3000,11935,1983,4,192,25,http://www.redfin.com/TX/Dallas/16058-Chalfont-Ct-75248/home/31086449,32.9668969,-96.8081598
Single Family Residential,2345 Dorrington Dr,Dallas,75228,315000,3,2,Claremont 05 Inst,1652,10062,1959,36,191,,http://www.redfin.com/TX/Dallas/2345-Dorrington-Dr-75228/home/30968011,32.8055,-96.7068004
Single Family Residential,12536 Planters Glen Dr,Dallas,75244,564900,4,3.5,Inwood North Estates,2952,11456,1967,5,191,,http://www.redfin.com/TX/Dallas/12536-Planters-Glen-Dr-75244/home/31099173,32.9199067,-96.8210738
Single Family Residential,11567 Coral Hills Dr,Dallas,75229,364900,3,2,Coral Hills,1912,11413,1960,3,191,,http://www.redfin.com/TX/Dallas/11567-Coral-Hills-Dr-75229/home/30931765,32.9078631,-96.8678289
Single Family Residential,10802 Wallbrook Dr,Dallas,75238,359900,3,2,Kingsley Meadows,1895,11631,1974,18,190,,http://www.redfin.com/TX/Dallas/10802-Wallbrook-Dr-75238/home/31022062,32.8765757,-96.6978369
Condo/Co-op,2787 Bradford Dr Unit 4805A,Dallas,75219,200000,2,1.5,Montebella Condos,1051,227645,1955,5,190,299,http://www.redfin.com/TX/Dallas/4805A-Bradford-Dr-75219/unit-4805A/home/30765207,32.816583,-96.8235808
Single Family Residential,6244 Glennox Ln,Dallas,75214,575000,4,3.5,Lovers Lane East,3027,8233,1971,4,190,,http://www.redfin.com/TX/Dallas/6244-Glennox-Ln-75214/home/30868906,32.8498675,-96.7557699
Single Family Residential,9526 Moss Haven Dr,Dallas,75231,689000,4,4.5,Oak Highlands Estates,3663,13591,1981,33,188,,http://www.redfin.com/TX/Dallas/9526-Moss-Haven-Dr-75231/home/31069751,32.8891065,-96.7424122
Condo/Co-op,14151 Montfort Dr #351,Dallas,75254,198500,2,2,Lifescape Villas On Montfort,1058,,1981,3,188,348,http://www.redfin.com/TX/Dallas/14151-Montfort-Dr-75254/unit-351/home/31174328,32.9407408,-96.8143444
Condo/Co-op,4816 Amesbury Dr #227,Dallas,75206,242000,2,2,University Place Condo,1290,187003,1963,1,188,329,http://www.redfin.com/TX/Dallas/4816-Amesbury-Dr-75206/unit-227/home/30867760,32.8456082,-96.7631766
Single Family Residential,18928 Ravenglen Ct,Dallas,75287,295000,3,2.5,Bently Court,1580,3485,1993,4,187,,http://www.redfin.com/TX/Dallas/18928-Ravenglen-Ct-75287/home/32189515,33.0087713,-96.8408159
Single Family Residential,3891 Antigua Cir,Dallas,75244,400000,4,2,Meadow Park Inst 09,2134,13896,1968,4,187,,http://www.redfin.com/TX/Dallas/3891-Antigua-Cir-75244/home/31094381,32.9204571,-96.8478726
Single Family Residential,9008 Crown Point Cir,Irving,75063,415000,3,2.5,Lakeside Village Ph 02,2230,5009,1995,8,186,88,http://www.redfin.com/TX/Irving/9008-Crown-Point-Cir-75063/home/31689871,32.9311252,-96.9439573
Single Family Residential,3135 Royal Gable Dr,Dallas,75229,229000,3,2,Gables at Royal Lane,1229,3049,1983,5,186,65,http://www.redfin.com/TX/Dallas/3135-Royal-Gable-Dr-75229/home/31141573,32.896427,-96.872901
Single Family Residential,1014 N Clinton Ave,Dallas,75208,609900,3,3,Kessler Square,3317,8015,1928,133,184,,http://www.redfin.com/TX/Dallas/1014-N-Clinton-Ave-75208/home/30836186,32.7559496,-96.8411902
Townhouse,1529 Fiji St,Dallas,75203,269900,3,2.5,Sphinx at Fiji Phase 2,1468,2091,2017,1,184,68,http://www.redfin.com/TX/Dallas/1529-Fiji-St-75203/home/59420410,32.745069,-96.801363
Single Family Residential,3977 Cedar Bayou Dr,Dallas,75244,463000,4,2.5,Glen Cove,2535,11326,1963,47,183,,http://www.redfin.com/TX/Dallas/3977-Cedar-Bayou-Dr-75244/home/30927996,32.9148894,-96.8471188
Multi-Family (2-4 Unit),6137 Reiger Ave,Dallas,75214,499000,4,,Hill Crest,2728,6186,1937,6,183,,http://www.redfin.com/TX/Dallas/6137-Reiger-Ave-75214/home/30802367,32.808051,-96.7498272
Single Family Residential,3232 Kiesthill Dr,Dallas,75233,549900,4,3.5,Kiest Forest Rev,3000,16683,1967,4,183,,http://www.redfin.com/TX/Dallas/3232-Kiest-Hill-Dr-75233/home/30958266,32.7048527,-96.8804858
Townhouse,1429 Caddo St Unit C,Dallas,75204,358900,2,2,Caddo Street Twnhms,1974,1525,2004,48,182,75,http://www.redfin.com/TX/Dallas/1429-Caddo-St-75204/unit-C/home/30739558,32.7967258,-96.783326
Single Family Residential,11227 Sinclair Ave,Dallas,75218,290000,3,2,Lochwood,1593,9278,1955,6,182,,http://www.redfin.com/TX/Dallas/11227-Sinclair-Ave-75218/home/30863763,32.8532001,-96.6859919
Single Family Residential,2703 Hillglenn Rd,Dallas,75228,325000,4,2,Shiloh Park,1785,8146,2017,5,182,,http://www.redfin.com/TX/Dallas/2703-Hillglenn-Rd-75228/home/31002540,32.8262695,-96.6678631
Condo/Co-op,5335 Bent Tree Forest Dr #237,Dallas,75248,125000,1,1,Bent Tree Forest Drive Condos,687,381847,1981,4,182,176,http://www.redfin.com/TX/Dallas/5335-Bent-Tree-Forest-Dr-75248/unit-237/home/31131931,32.9656014,-96.8170549
Single Family Residential,7446 La Sobrina Dr,Dallas,75248,365000,4,2,Prestonwood 03,2016,9453,1971,18,181,,http://www.redfin.com/TX/Dallas/7446-La-Sobrina-Dr-75248/home/31079141,32.9684715,-96.7788043
Single Family Residential,10684 E Lake Highlands Dr,Dallas,75218,500000,3,2.5,Highlands Crk Court,2762,8146,1986,4,181,,http://www.redfin.com/TX/Dallas/10684-E-Lake-Highlands-Dr-75218/home/31151462,32.854844,-96.70114
Single Family Residential,15646 Overmead Cir,Dallas,75248,395000,3,2,Prestonwood,2188,7579,1968,4,181,71,http://www.redfin.com/TX/Dallas/15646-Overmead-Cir-75248/home/31079053,32.9618164,-96.7823815
Condo/Co-op,17490 Meandering Way #1803,Dallas,75252,214999,2,2.5,Willow Greene,1193,494406,1983,29,180,345,http://www.redfin.com/TX/Dallas/17490-Meandering-Way-75252/unit-1803/home/32186131,32.9910582,-96.7770701
Single Family Residential,2938 Bay Oaks Dr,Dallas,75229,264900,3,2,Walnut Hills 4th Inst,1475,7492,1955,4,180,,http://www.redfin.com/TX/Dallas/2938-Bay-Oaks-Dr-75229/home/30933901,32.8884897,-96.8789287
Multi-Family (2-4 Unit),10550 Ravenscroft Dr,Dallas,75230,349900,3,2,Crest Meadow Estates,1949,4966,1970,3,180,,http://www.redfin.com/TX/Dallas/10550-Ravenscroft-Dr-75230/home/30992840,32.890887,-96.777961
Single Family Residential,3543 Northaven Rd,Dallas,75229,329999,3,2.5,Kenilworth Estates,1857,13634,1960,75,178,,http://www.redfin.com/TX/Dallas/3543-Northaven-Rd-75229/home/30931701,32.9025709,-96.8587781
Single Family Residential,4133 Dawes Dr,Dallas,75211,220000,3,2,Bluebonnet Acres,1233,7623,1949,4,178,,http://www.redfin.com/TX/Dallas/4133-Dawes-Dr-75211/home/30857451,32.7276572,-96.8881544
Single Family Residential,6004 White Rose Trl,Dallas,75248,465500,4,3,Prestonwood,2629,10237,1979,5,177,,http://www.redfin.com/TX/Dallas/6004-White-Rose-Trl-75248/home/31110364,32.9569259,-96.8042464
Single Family Residential,7620 Pennyburn Dr,Dallas,75248,575000,4,4.5,Highlands North Sec 03,3288,11326,1978,3,175,,http://www.redfin.com/TX/Dallas/7620-Pennyburn-Dr-75248/home/31112525,32.9819272,-96.7762104
Single Family Residential,17554 SEQUOIA Dr,Dallas,75252,499900,4,3.5,University Place Add,2875,4356,2018,3,174,54,http://www.redfin.com/TX/Dallas/17554-Sequoia-Dr-75252/home/166927670,32.9897779,-96.7613857
Single Family Residential,7417 La Manga,Dallas,75248,419000,4,3,Prestonwood 4,2443,8843,1972,4,172,5,http://www.redfin.com/TX/Dallas/7417-La-Manga-Dr-75248/home/31080040,32.9706901,-96.779892
Single Family Residential,2842 Duval Dr,Dallas,75211,399900,3,2,Ravinia Heights,2346,11805,1949,6,170,,http://www.redfin.com/TX/Dallas/2842-Duval-Dr-75211/home/30847980,32.7439189,-96.8677905
Single Family Residential,4043 Kentshire Ln,Dallas,75287,346500,3,2,Regency Park 2,2039,7841,1984,4,170,,http://www.redfin.com/TX/Dallas/4043-Kentshire-Ln-75287/home/31923796,33.0026443,-96.8415697
Single Family Residential,14949 Hillcrest Rd,Dallas,75248,474900,4,3,Prestonwood,2806,11631,1969,5,169,,http://www.redfin.com/TX/Dallas/14949-Hillcrest-Rd-75248/home/31075664,32.9532247,-96.7869212
Townhouse,8806 Tudor Pl,Dallas,75228,324900,3,2.5,Villas At Ash Creek,1925,2222,2012,4,169,125,http://www.redfin.com/TX/Dallas/8806-Tudor-Pl-75228/home/30781130,32.8133195,-96.6983183
Single Family Residential,7930 Fair Oaks Ave,Dallas,75231,549000,4,3,Alexanders Village,3252,8668,1990,3,169,,http://www.redfin.com/TX/Dallas/7930-Fair-Oaks-Ave-75231/home/31067751,32.8834559,-96.7448404
Condo/Co-op,7705 Meadow Park Dr #110,Dallas,75230,192000,2,2,Belle Meadow Condo,1135,131900,1963,1,169,527,http://www.redfin.com/TX/Dallas/7705C-Meadow-Park-Dr-75230/unit-110/home/30998782,32.8855767,-96.7749383
Single Family Residential,10430 Sylvia Dr,Dallas,75228,234900,3,2,EASTRIDGE PARK,1400,8930,1952,4,168,,http://www.redfin.com/TX/Dallas/10430-Sylvia-Dr-75228/home/30862821,32.8367068,-96.6839658
Single Family Residential,17007 Windward Ln,Addison,75001,295000,2,2,Addison Place Rev,1770,2614,1992,39,167,100,http://www.redfin.com/TX/Addison/17007-Windward-Ln-75001/home/31193692,32.9836448,-96.8356966
Single Family Residential,7140 Lupton,Dallas,75225,689950,4,3.5,Windsor Park 08,4143,16771,1969,1,167,,http://www.redfin.com/TX/Dallas/7140-Lupton-Dr-75225/home/30872409,32.8754664,-96.7820125
Single Family Residential,18932 Voss Rd,Dallas,75287,315000,3,2,Northpointe II,1898,5227,1986,6,166,,http://www.redfin.com/TX/Dallas/18932-Voss-Rd-75287/home/32022041,33.0090378,-96.8375496
Single Family Residential,4342 Shady Bend Dr,Dallas,75244,425000,4,3,Forest Glen Sec 04,2561,13460,1970,5,166,,http://www.redfin.com/TX/Dallas/4342-Shady-Bend-Dr-75244/home/31097162,32.9170699,-96.8365027
Single Family Residential,7330 Wester Way,Dallas,75248,575499,4,4,Highland Of Mckamy 02,3464,13765,1979,4,166,,http://www.redfin.com/TX/Dallas/7330-Wester-Way-75248/home/31113400,32.9858065,-96.7789716
Single Family Residential,5110 Veterans Dr,Dallas,75241,150000,3,1,Goldmine,910,10977,1952,1,165,,http://www.redfin.com/TX/Dallas/5110-Veterans-Dr-75241/home/30944281,32.687264,-96.777457
Single Family Residential,3306 Jubilee Trl,Dallas,75229,389000,4,2.5,Kenilworth Estates,2372,11064,1964,124,164,,http://www.redfin.com/TX/Dallas/3306-Jubilee-Trl-75229/home/30931615,32.8997763,-96.8657279
Single Family Residential,718 Holliday Ln,Duncanville,75116,169750,3,1,Fairwoods 01,1032,7318,1980,4,164,,http://www.redfin.com/TX/Duncanville/718-Holliday-Ln-75116/home/31312716,32.6687123,-96.8932254
Single Family Residential,11124 Yorkspring Dr,Dallas,75218,449500,4,2.5,Lochwood Meadows,2745,10193,1968,4,164,,http://www.redfin.com/TX/Dallas/11124-Yorksprings-Pl-75218/home/31045761,32.859929,-96.691746
Single Family Residential,1416 Michigan Ave,Dallas,75216,285000,3,2.5,Cedar Oaks,1740,5358,1983,1,164,,http://www.redfin.com/TX/Dallas/1416-Michigan-Ave-75216/home/30835330,32.7306916,-96.8165735
Single Family Residential,9671 Lynbrook Dr,Dallas,75238,239000,3,2,Lake Highlands Estates,1474,9322,1959,166,162,,http://www.redfin.com/TX/Dallas/9671-Lynbrook-Dr-75238/home/31030749,32.878777,-96.7046273
Single Family Residential,1400 Seminole Dr,Richardson,75080,465000,4,2.5,Richardson Heights 16 Sec 02,2896,10890,1967,1,161,,http://www.redfin.com/TX/Richardson/1400-Seminole-Dr-75080/home/31965712,32.9691806,-96.7673418
Single Family Residential,6916 Leameadow Dr,Dallas,75248,445000,4,3,Prestonwood Estates,2780,12240,1969,4,160,,http://www.redfin.com/TX/Dallas/6916-Leameadow-Dr-75248/home/31075793,32.9539269,-96.7885113
Single Family Residential,7605 Queens Garden Dr,Dallas,75248,669000,6,4,Highlands North Sec 02,4227,14898,1978,4,158,,http://www.redfin.com/TX/Dallas/7605-Queens-Garden-Dr-75248/home/31112520,32.9812689,-96.7774446
Single Family Residential,8406 Maddox St,Dallas,75217,140000,2,1,Grovedale Heights Bl 6332,886,7144,1949,1,158,,http://www.redfin.com/TX/Dallas/8406-Maddox-St-75217/home/30923391,32.7330489,-96.676269
Single Family Residential,9306 Clearwater Dr,Dallas,75243,289900,3,2,Northwood Estates,1845,10019,1960,4,157,,http://www.redfin.com/TX/Dallas/9306-Clearwater-Dr-75243/home/31028428,32.903048,-96.750924
Single Family Residential,10849 Dixon Branch Dr,Dallas,75218,490000,3,2.5,Enclave & Wyrick Estates,3143,6229,2012,6,156,67,http://www.redfin.com/TX/Dallas/10849-Dixon-Branch-Dr-75218/home/30764005,32.8639266,-96.6953507
Single Family Residential,4045 Windhaven Ln,Dallas,75287,317400,3,2,Bently Court,2036,5663,1985,4,156,,http://www.redfin.com/TX/Dallas/4045-Windhaven-Ln-75287/home/32021655,33.0079305,-96.8421769
Single Family Residential,1209 Lakeridge Ln,Irving,75063,464900,4,3,Hollows Of Valley Ranch Sec 04,2988,9627,1998,3,156,57,http://www.redfin.com/TX/Irving/1209-Lakeridge-Ln-75063/home/31678537,32.9422806,-96.9650791
Townhouse,1947 Lantana Ln,Irving,75063,299000,3,2.5,Emerald Valley Ph 03,1931,2309,2007,5,155,181,http://www.redfin.com/TX/Irving/1947-Lantana-Ln-75063/home/30768580,32.9233967,-96.9694637
Single Family Residential,8006 Claremont Dr,Dallas,75228,265000,3,2,Claremont 01 Inst,1710,12981,1960,5,155,,http://www.redfin.com/TX/Dallas/8006-Claremont-Dr-75228/home/30967067,32.7984797,-96.7096631
Single Family Residential,1419 Santa Fe Trl,Irving,75063,420000,4,3,Irving,2709,6882,1997,1,155,45,http://www.redfin.com/TX/Irving/1419-Santa-Fe-Trl-75063/home/31765903,32.9348237,-96.9664427
Single Family Residential,13334 Flagstone Ln,Dallas,75240,230000,3,2,Spring Valley Park 02,1497,8494,1957,4,154,,http://www.redfin.com/TX/Dallas/13334-Flagstone-Ln-75240/home/31026026,32.9296131,-96.7727172
Single Family Residential,11726 Abston Ln,Dallas,75218,214900,3,1,Gaston Park,1404,7144,1952,6,153,,http://www.redfin.com/TX/Dallas/11726-Abston-Ln-75218/home/30934433,32.862346,-96.6777414
Single Family Residential,3705 Strayhorn Dr,Mesquite,75150,228000,4,2,Country Club Estates,1490,7449,1957,4,153,,http://www.redfin.com/TX/Mesquite/3705-Strayhorn-Dr-75150/home/31823001,32.834152,-96.6545204
Townhouse,7407 Coronado Way,Dallas,75214,379900,2,2.5,Sjb Add,2502,1263,2008,68,152,50,http://www.redfin.com/TX/Dallas/7407-Coronado-Way-75214/home/30781061,32.8082459,-96.730715
Single Family Residential,1830 Berkley Ave,Dallas,75224,200000,2,1,Elmwood Add,1312,7013,1950,27,152,,http://www.redfin.com/TX/Dallas/1830-Berkley-Ave-75224/home/30849924,32.7240324,-96.850951
Single Family Residential,2248 Dorrington Dr,Dallas,75228,350000,4,2,Somerset Heights,2308,12807,1971,4,152,,http://www.redfin.com/TX/Dallas/2248-Dorrington-Dr-75228/home/30966247,32.8068412,-96.7092034
Single Family Residential,7109 Bluefield Dr,Dallas,75248,385000,4,3,Prestonwood,2556,8233,1973,4,151,,http://www.redfin.com/TX/Dallas/7109-Bluefield-Dr-75248/home/31079864,32.9724265,-96.7834065
Single Family Residential,637 Tiffany Trl,Richardson,75081,389000,3,3,Richland Park East 02 Sec Rev,2578,9017,1976,1,151,,http://www.redfin.com/TX/Richardson/637-Tiffany-Trl-75081/home/31975089,32.9296057,-96.7196732
Single Family Residential,7350 Highland Glen Trl,Dallas,75248,397000,3,2.5,Highland Square,2640,2919,1981,4,150,,http://www.redfin.com/TX/Dallas/7350-Highland-Glen-Trl-75248/home/31153776,32.9865766,-96.7793063
Single Family Residential,10050 Mill Valley Ln,Dallas,75217,135000,3,1.5,Pleasant Valley,900,8189,1970,4,150,,http://www.redfin.com/TX/Dallas/10050-Mill-Valley-Ln-75217/home/31053148,32.7133824,-96.6498856
